ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t,call_option,D_call_option,D_sigma_impl,sqrt_t,D_S,delta_bs,vega_bs,y_serie,a,b,c,delta_mv,portfolio_bs,cashflow_delta_bs,dt,cash_account_bs,pl_cumulative_bs,portfolio_mv,cashflow_delta_mv,cash_account_mv,pl_cumulative_mv
2023-05-19,16.05,23.127,318.34,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.252777778,14.736541513398208,-0.2655845264793584,-0.1280000000000001,0.5027701045209431,-0.18000000000000682,0.5226823736976576,63.74821198971724,2.3921508994865763,-4.390410669239354,13.107970532559364,-9.570301942897242,0.46147125249879817,-151.6541653295141,-0.7526096122074297,0.0027777780000000085,150.45647318811828,-1.1976921413958053,-132.1682170070692,-1.6827389114169091,133.92804510052363,1.7598280934544448
2023-05-22,17.65,23.811,321.18,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.244444444,16.421333869484613,1.6847923560864047,0.684000000000001,0.4944132320235776,2.840000000000032,0.5523717906165494,62.80363316550391,0.10332486115678075,-4.390410669239354,13.107970532559364,-9.570301942897242,0.5246961763489639,-160.98943784073873,9.535646926009674,0.008333333999999998,160.01719828478838,-0.9722395559503525,-152.10058405027561,20.30658104219624,154.25694934557103,2.1563652952954158
2023-05-23,14.7,24.191,315.26,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.241666667,13.479317004554218,-2.9420168649303946,0.379999999999999,0.49159604046411925,-5.920000000000016,0.48987423451577916,61.808384455471895,0.01777289122489752,-4.390410669239354,13.107970532559364,-9.570301942897242,0.38386804093804155,-140.9584341688903,-19.702979536328822,0.002777777000000009,140.32310883726413,-0.6353253316261771,-107.53892158157277,-44.39747796964738,109.86804144209842,2.329119860525651
2023-05-24,14.05,24.842,313.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.238888889,13.10358955550106,-0.3757274490531586,0.6509999999999998,0.48876261006750504,-1.4099999999999682,0.4761705242451694,61.087801921175796,-0.5265724708516147,-4.390410669239354,13.107970532559364,-9.570301942897242,0.3492401197518922,-136.34252947884536,-4.300909468430866,0.0027777780000000085,136.02999531427773,-0.31253416456763716,-96.5054220286303,-10.867973064272984,99.00617232794647,2.5007502993161665
2023-05-25,21.75,26.415,325.92,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.236111111,20.46611316368572,7.3625236081846595,1.5730000000000004,0.48591265778944265,12.069999999999993,0.5963007077647018,61.33016811110678,0.035336998421654865,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6051789930427566,-173.8802135109859,39.15282941268599,0.0027777779999999808,175.190382159457,1.310168648471091,-176.77382424880952,83.41559758295853,182.4272704070423,5.653446158232782
2023-05-26,26.71,27.035,332.89,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.233333333,25.105026094592205,4.638912930906486,0.620000000000001,0.48304589119461516,6.96999999999997,0.6566849656791575,59.136661171942755,0.024116793896721996,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6899108428138919,-193.49883213034252,20.10131561714315,0.0027777780000000085,195.30143084674822,1.8025987164056971,-204.55939436972426,28.206385470313244,210.64379100805112,6.084396638326865
2023-05-30,24.3,26.889,331.21,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.222222222,23.49801314051055,-1.6070129540816538,-0.1460000000000008,0.47140452055532944,-1.6800000000000068,0.644337836951196,58.165738539916624,0.8380832651848287,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6749740247846456,-189.91312183609506,-4.089492505988131,0.011111111000000007,191.25534348090673,1.3422216448116728,-200.06013360841192,-4.947223499466664,205.74338244091794,5.683248832506024
2023-05-31,23.86,26.123,328.39,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.219444444,21.158497105498782,-2.339516035011769,-0.7659999999999982,0.4684489769441278,-2.819999999999993,0.6211656442292381,58.51807722907176,0.5479791190453912,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6436624822364905,-182.82608880294072,-7.609516367963724,0.0027777780000000085,183.65645270580575,0.8303639028650309,-190.21382543614232,-10.282397457388672,195.47241548986824,5.258590053725925
2023-06-01,24.8,26.031,332.58,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.216666667,23.685279515925032,2.52678241042625,-0.0920000000000023,0.4654746684836888,4.189999999999998,0.6607749043823379,56.67348486858207,-0.15767769338424076,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6945975182739932,-196.0752381835529,13.173247741717908,0.0027777769999999813,196.83990386435377,0.7646656808008743,-207.3239631116396,16.93997428535265,212.42324965247894,5.09928654083933
2023-06-02,26.8,25.06,335.4,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.213888889,24.948203242078137,1.2629237261531046,-0.9710000000000001,0.4624812309705119,2.819999999999993,0.6916079007452669,54.59975268357443,-0.6925220124542429,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7259216311142589,-207.01708666788437,10.341386980126392,0.0027777780000000085,207.19222669934067,0.1751400314562943,-218.52591183364427,10.506107446625117,222.94115871951533,4.415246885871056
2023-06-05,27.6,24.934,335.94,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.205555556,24.954023680208167,0.00582043813002997,-0.12599999999999767,0.45338235078132455,0.5400000000000205,0.6994795795934629,52.998314405487164,-1.9792241349995394,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7328387592111419,-210.02914628841975,2.6444117922629475,0.008333332999999998,209.87117340583504,-0.15797288258471553,-221.23582908918286,2.3237400128668924,225.3020586872593,4.066229598076433
2023-06-06,24.65,24.302,333.68,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.202777778,22.95470928120139,-1.9993143990067779,-0.6320000000000014,0.4503085364502876,-2.259999999999991,0.6823582119799557,53.5673515840357,0.567444725501389,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7172475553104799,-204.73457889227024,-5.71305794527506,0.0027777780000000085,204.16977529500772,-0.564803597262511,-216.37645497479954,-5.20247291757291,220.11210289942076,3.735647924621219
2023-06-07,17.42,24.119,323.38,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.2,16.261857431011066,-6.692851850190323,-0.18299999999999983,0.4472135954999579,-10.300000000000011,0.5747289680716056,56.67982212035072,0.19152371115213798,-4.390410669239354,13.107970532559364,-9.570301942897242,0.5676433448596185,-169.59399626398474,-34.80514489508227,0.0027777779999999808,169.37597348120977,-0.21802278277496612,-167.30264742969237,-48.37900957559955,171.7453221146461,4.442674684953715
2023-06-08,18.25,23.681,325.26,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.197222222,17.012568927898684,0.7507114968876181,-0.43799999999999883,0.4440970862322787,1.8799999999999955,0.5968177873616002,55.9205890530835,-0.5101652761472595,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6060313720665487,-177.10838458933537,7.18460936226365,0.0027777780000000085,176.56999288191827,-0.5383917074171052,-180.10519515046693,12.486089729326094,184.24095351656368,4.135758366096752
