date,open,high,low,close
21-May-18,10.2967497,10.37170688,9.839116376,9.882512639
22-May-18,9.807405464,9.997149706,9.546507133,9.767875414
23-May-18,9.578131173,9.676956299,9.198642691,9.198642691
24-May-18,7.925775073,8.202485425,7.767654872,7.937634088
25-May-18,8.162955374,8.408041686,7.771607877,7.826949947
28-May-18,7.589769646,7.589769646,6.684531495,6.684531495
29-May-18,7.115409043,7.684641767,6.957288842,7.629299696
30-May-18,7.269576239,7.894151033,7.166798108,7.502803535
1-Jun-18,7.732077827,7.807184922,5.889977486,6.388056119
4-Jun-18,6.834745686,6.973100862,6.739873566,6.929617807
5-Jun-18,6.862416722,7.036348943,6.558035335,6.558035335
6-Jun-18,6.510599274,6.59361238,6.273418973,6.455257204
7-Jun-18,6.324808038,6.388056119,5.901836501,6.229935918
8-Jun-18,6.249700943,6.399915134,5.953225566,6.028332661
11-Jun-18,6.127157787,6.245747938,5.980896601,6.091580742
12-Jun-18,6.119251777,6.198311878,6.024379656,6.111345767
13-Jun-18,6.095533747,6.127157787,5.826729405,5.996708621
14-Jun-18,6.059956702,6.146922812,5.949272561,5.969037586
15-Jun-18,5.941366551,5.957178571,5.71999827,5.917648521
18-Jun-18,5.83858842,5.886024481,5.731857285,5.731857285
19-Jun-18,5.636985164,6.214123898,5.601408119,6.095533747
20-Jun-18,6.261559958,6.514552279,6.245747938,6.407821144
21-Jun-18,6.360385084,6.451304199,5.969037586,5.969037586
22-Jun-18,6.091580742,6.198311878,5.933460541,5.972990591
25-Jun-18,6.008567636,6.241794933,5.953225566,6.206217888
26-Jun-18,6.285277988,6.372244099,6.139016802,6.340620058
27-Jun-18,6.364338089,6.712202531,6.348526068,6.542223315
28-Jun-18,6.6094244,6.747779576,6.455257204,6.56198834
29-Jun-18,6.660813465,6.795215636,6.613377405,6.795215636
2-Jul-18,6.716155536,6.909852782,6.68057849,6.905899777
3-Jul-18,7.012630912,7.071925988,6.901946772,6.917758792
4-Jul-18,6.870322732,7.293294269,6.814980661,7.293294269
5-Jul-18,7.352589345,7.431649445,6.977053867,7.060066973
6-Jul-18,7.103550028,7.150986088,6.977053867,7.091691013
10-Jul-18,7.249811214,7.253764219,6.937523817,7.016583917
11-Jul-18,6.913805787,7.147033083,6.838698691,6.882181747
12-Jul-18,6.965194852,7.123315053,6.925664802,7.095644018
13-Jul-18,7.111456038,7.186563134,7.028442933,7.158892098
16-Jul-18,7.095644018,7.107503033,6.957288842,7.067972983
17-Jul-18,7.032395938,7.273529244,7.000771897,7.230046189
18-Jul-18,7.214234169,7.273529244,7.091691013,7.135174068
